07/25/2017                                                                                                              Dynamic List Display                                                                                                                      1


	Order	Activity	Work cntr.	Operation short text	Op. Qty	Actl Start	Act. start	Act.finish	Act.finish	              Move time	             Queue time	Sys.Status	Duration	                  Setup	User field	User field	              Wait time
	160454742	0322	CMA12000	Rework-add probes	     1	06/15/2017	07:26:19	06/15/2017	07:26:19	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	06/15/2017	                  0.000
	160454742	0324	CMA13000	ESS-troubleshoot	     1	06/15/2017	10:46:16	07/08/2017	12:46:18	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	0046212	07/08/2017	                  0.000
	160454742	0326	CMA12000	Rework	     1	07/10/2017	04:31:31	07/10/2017	07:36:20	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP -271 	07/10/2017	                  0.000
	160454742	0328	CMA13000	ESS-troubleshoot	     1	07/19/2017	06:46:13	07/19/2017	07:11:41	                  0.000	                  4.000	PCNF PRT  REL	    0.0	                  0.000	0046212	07/19/2017	                  0.000
	160454742	0330	CMA12000	Rework	     1	07/19/2017	12:11:42	07/19/2017	13:01:35	                  0.000	                  4.000	PCNF PRT  REL	    0.0	                  0.000	QOP -271 	07/20/2017	                  0.000
	160454742	0332	CMA13000	IN-PROCESS INSPECTION	     1		00:00:00		00:00:00	                  0.000	                  4.000	PRT  REL	    0.0	                  0.000	QOP -271 	07/20/2017	                  0.000
	160454742	0400	CMA13000	HUMS TESTING	     1		00:00:00		00:00:00	                  0.000	                  4.000	PRT  REL	   60.0	                 12.000			                  0.000
	160454742	0500	CMQ13000	HUMS INSPECTION	     1		00:00:00		00:00:00	                  0.000	                  0.960	PRT  REL	   24.0	                  6.000			                  0.000
	160454742	9999	ZPD9LAST	LAST OPERATION	     1		00:00:00		00:00:00	                  0.000	                  0.000	PRT  REL	    0.0	                  0.000			                  0.000
	160499580	0005	KIT02000	KITTIING	     1		00:00:00		00:00:00	                  0.000	                 16.000	PRT  REL	    0.0	                  0.000	8130558	11/17/2016	                  0.000
	160499580	0010	CMA12000	HUMS ASSEMBLY	     1	11/17/2016	07:37:47	11/17/2016	07:37:47	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	8130558	11/17/2016	                  0.000
	160499580	0015	CMQ13000	HUMS INPROCESS INSPECT	     1	11/17/2016	14:11:41	11/17/2016	14:11:41	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	ACC-866	11/17/2016	                  0.000
	160499580	0020	CMA13000	HUMS PRETEST	     1		00:00:00		00:00:00	                  0.000	                  4.000	PRT  REL	   36.0	                 12.000	DIS-712	01/24/2017	                  0.000
